OSEBuildingID,PrimaryPropertyType,Neighborhood,PropertyGFATotal(m2),LargestPropertyUseType,LargestPropertyUseTypeGFA(m2),SecondLargestPropertyUseTypeGFA(m2),ENERGYSTARScore,SiteEnergyUseWN(GJ),TotalGHGEmissions(MetricTonsCO2e)
573,Large Office,LAKE UNION,13431.27120192,Office,7294.839603840001,6191.987616,59.0,5738092.045929999,36.81
574,Retail Store,NORTH,28132.155348480002,Retail Store,28132.155348480002,,97.0,7778976.37108,122.525
575,Small- and Mid-Sized Office,NORTHWEST,8026.822656,Office,7265.017728000001,,55.0,9445351.32333,276.44
576,Other,North,9154.57265856,Strip Mall,9154.57265856,,,5957341.163114999,47.1
577,Small- and Mid-Sized Office,NORTHWEST,8034.533608320001,Office,8034.533608320001,0.0,53.0,7209955.345285,45.865
578,Distribution Center,DELRIDGE,4793.796864,Distribution Center,3195.8645760000004,1597.9322880000002,78.5,1226140.2210024998,21.835
579,Warehouse,DELRIDGE,13054.7351808,Non-Refrigerated Warehouse,13054.7351808,,67.0,2237412.725235,50.06999999999999
580,Large Office,MAGNOLIA / QUEEN ANNE,14309.76234816,Office,8514.0991008,6158.356715520001,,3440961.342105,53.36
581,Other,NORTHWEST,15030.68993856,Parking,8541.0409824,6489.64895616,,7429980.722864999,49.11
582,Medical Office,NORTHWEST,5937.3403833600005,Medical Office,5636.427436800001,300.91294656,,4833929.101015,31.939999999999998
583,Warehouse,NORTHWEST,4967.711354880001,Non-Refrigerated Warehouse,4352.13581184,932.0962003200001,,1227767.9807587499,34.93
584,Warehouse,GREATER DUWAMISH,4683.89256768,Non-Refrigerated Warehouse,4683.89256768,,36.5,1716170.4871875,49.66
585,Medical Office,NORTHWEST,12383.78942592,Medical Office,12383.78942592,,27.5,16442176.89943,294.20000000000005
586,Retail Store,NORTH,15665.21770176,Retail Store,16082.07364224,,77.0,7222653.25615,89.88
588,Mixed Use Property,LAKE UNION,23395.493854080003,Parking,10527.58668672,7803.8553600000005,,48133850.25448,1098.22
589,Large Office,LAKE UNION,16340.2511904,Office,9659.1290688,6632.3480256,89.5,7109972.056855,46.980000000000004
590,Warehouse,GREATER DUWAMISH,9734.93794944,Non-Refrigerated Warehouse,9734.93794944,,92.5,1115201.9808274999,20.9
592,Other,GREATER DUWAMISH,4927.5772416,Other,4777.724638080001,,,2108931.0133212497,50.785
594,Other,GREATER DUWAMISH,10283.344594560001,Other,10283.344594560001,,,2646902.34867,100.265
595,Small- and Mid-Sized Office,GREATER DUWAMISH,4981.4610048,Office,4981.4610048,,87.0,2256409.2124175,21.86
596,Small- and Mid-Sized Office,GREATER DUWAMISH,4645.89522432,Office,4645.89522432,,59.5,3695267.7292049997,65.81
597,Large Office,MAGNOLIA / QUEEN ANNE,27051.135575040003,Office,18085.80640896,10330.63224192,98.5,6721077.995915,46.075
598,Warehouse,GREATER DUWAMISH,4722.44732928,Non-Refrigerated Warehouse,4080.3015168,642.14581248,57.5,3075284.2721125,106.24
599,Refrigerated Warehouse,GREATER DUWAMISH,7093.518716160001,Refrigerated Warehouse,7105.78191744,,66.5,3009344.736585,21.105
600,Warehouse,GREATER DUWAMISH,9149.091379200001,Non-Refrigerated Warehouse,9149.091379200001,,66.0,3049752.74329,40.325
601,Mixed Use Property,LAKE UNION,4924.04692608,Retail Store,2935.92187008,2548.0516780800003,78.5,3658238.9477974996,56.84
602,Mixed Use Property,LAKE UNION,16343.31699072,Office,6200.07018048,5408.62918272,,22896706.3833,603.25
603,Other,LAKE UNION,15773.542646400001,Other,9848.00094912,5925.54169728,,21912132.831779998,445.89
604,Large Office,LAKE UNION,11586.96005184,Office,9995.809685760001,1449.287424,57.0,15370997.16522,362.915
605,Small- and Mid-Sized Office,LAKE UNION,8733.07156608,Office,8724.0599712,2912.3244979200003,66.0,6717101.73854,43.555
606,Warehouse,GREATER DUWAMISH,8641.840780800001,Non-Refrigerated Warehouse,8641.840780800001,,60.5,1307619.6693287499,8.64
607,Supermarket / Grocery Store,SOUTHEAST,5672.009301120001,Supermarket/Grocery Store,5057.08407936,0.0,32.5,14573845.52716,314.105
608,Large Office,DOWNTOWN,14321.83974336,Office,17944.59378816,,100.0,7036829.231059999,29.155
609,Small- and Mid-Sized Office,DOWNTOWN,7331.907916800001,Office,7298.834434560001,,91.5,1493265.8508674998,16.765
610,Small- and Mid-Sized Office,DOWNTOWN,9238.2782976,Office,6046.87306752,2216.38782528,61.5,7139159.764225,132.655
611,Small- and Mid-Sized Office,DOWNTOWN,6806.076710400001,Office,5933.810067840001,,83.0,3143531.22386,19.505000000000003
612,Small- and Mid-Sized Office,DOWNTOWN,6486.21154368,Office,3218.8116268800004,2419.1022585600003,87.5,2480113.0566875,70.735
613,Small- and Mid-Sized Office,DOWNTOWN,7873.53264,Office,3865.60259136,2669.47595136,,2480157.6329725,28.965
614,Small- and Mid-Sized Office,DOWNTOWN,7013.807907840001,Office,4254.86632896,904.7827065600001,,3895158.2098624995,24.115000000000002
615,Large Office,DOWNTOWN,15271.401715200001,Office,11483.466065280001,1931.9187168,79.0,8045030.32375,124.755
616,Large Office,DOWNTOWN,14918.370163200001,Office,14918.370163200001,,98.0,4895238.373849999,112.125
618,Small- and Mid-Sized Office,DOWNTOWN,6825.5863488,Office,4379.9138208,880.44211008,83.0,3717275.3576274994,22.445
619,Other,DOWNTOWN,6294.6454752,Other,3125.9085868800003,1830.6544032000002,,2135123.00970375,12.995000000000001
620,Mixed Use Property,GREATER DUWAMISH,5267.602368000001,Office,2438.7048,1676.8998720000002,37.5,2479928.2893049996,30.575
621,Warehouse,GREATER DUWAMISH,7697.202670080001,Non-Refrigerated Warehouse,5432.226554880001,2162.9685772800003,84.5,2726677.0178599996,67.86500000000001
622,Other,GREATER DUWAMISH,7101.694183680001,Other,4691.603520000001,1672.2547200000001,,4603150.815679999,116.28
623,Distribution Center,GREATER DUWAMISH,8620.65888768,Distribution Center,7928.62414272,1248.1523424000002,56.5,3358466.5963525,71.06
624,Other,GREATER DUWAMISH,11661.09667776,Manufacturing/Industrial Plant,13275.93731904,,,4433851.66784,79.08500000000001
625,Large Office,GREATER DUWAMISH,11984.492160000002,Office,9742.648901760002,,82.5,4409322.5779,29.134999999999998
626,Warehouse,GREATER DUWAMISH,7322.06019456,Non-Refrigerated Warehouse,7322.06019456,,78.0,843663.595483125,15.49
627,Small- and Mid-Sized Office,GREATER DUWAMISH,5478.492268800001,Office,3704.0442048000004,1077.675264,,2051444.61851375,41.2
628,Distribution Center,GREATER DUWAMISH,7023.469824000001,Distribution Center,4741.771161600001,975.4819200000001,22.0,2527898.3066775,16.7
629,Distribution Center,GREATER DUWAMISH,5227.6540608000005,Distribution Center,3705.34484736,861.2111808000001,,1106428.2996912498,7.3100000000000005
630,Small- and Mid-Sized Office,DOWNTOWN,6209.8249996800005,Office,4006.1648908800003,976.7825625600001,32.5,5364194.60783,106.775
632,Small- and Mid-Sized Office,DOWNTOWN,6994.48407552,Office,6085.89234432,1014.3153907200001,79.5,3148823.8004674995,20.545
633,Large Office,DOWNTOWN,17124.07413888,Office,17086.35550464,37.71863424,78.0,10572092.62726,69.855
634,Large Office,DOWNTOWN,26742.41877312,Office,25437.96718848,1124.31259008,38.0,28191641.0499,192.315
635,Small- and Mid-Sized Office,GREATER DUWAMISH,5993.36091648,Office,5852.89152,,51.0,6527496.642174999,181.67000000000002
637,Mixed Use Property,GREATER DUWAMISH,26570.26944,Parking,10384.144392960001,10102.92689088,,66910533.622,451.11
638,Warehouse,GREATER DUWAMISH,13382.682912,Non-Refrigerated Warehouse,13382.682912,,21.5,4941215.251,97.30000000000001
639,Small- and Mid-Sized Office,GREATER DUWAMISH,5629.18099968,Office,5609.85716736,,17.5,5424492.605655,50.405
640,Large Office,GREATER DUWAMISH,128295.28921536001,Office,92970.8592192,26133.253539840003,78.0,82231414.38216,881.9100000000001
641,Retail Store,GREATER DUWAMISH,10027.025107200001,Retail Store,10006.02902016,,57.5,7704596.487434999,96.55000000000001
642,Warehouse,GREATER DUWAMISH,9205.20481536,Non-Refrigerated Warehouse,9205.20481536,,73.5,2168589.4469625,47.425
647,Distribution Center,Delridge,6755.81616576,Distribution Center,6755.81616576,,29.5,2840686.010165,40.68
649,Small- and Mid-Sized Office,EAST,7118.60253696,Office,7118.60253696,,91.0,3424015.1002675,31.095
650,Small- and Mid-Sized Office,NORTHEAST,8519.76618624,Office,4949.96687424,3223.82839104,2.5,8559087.207549999,56.555
651,Medical Office,LAKE UNION,11993.13214272,Medical Office,8280.540858240001,3497.98526208,15.0,17993579.325829998,383.14
652,Large Office,DELRIDGE,12830.467242240002,Office,11063.17271232,1506.98021184,43.0,8516318.504095,56.269999999999996
654,Retail Store,GREATER DUWAMISH,5255.71077888,Retail Store,5256.08239104,,68.0,2623389.545275,64.135
656,Medical Office,EAST,20994.41478528,Medical Office,18597.70215936,,57.0,20827233.62486,648.2850000000001
657,Mixed Use Property,DOWNTOWN,47975.78017728,Parking,35785.879395840006,31608.95871744,25.0,48574540.376,978.705
658,Large Office,DOWNTOWN,29033.314836480004,Office,28178.60686848,440.17460352,,27463280.3789,188.81
659,Large Office,DOWNTOWN,147986.55305856,Office,84990.67388928,32403.46551552,96.5,29956274.26748,490.995
660,Small- and Mid-Sized Office,DOWNTOWN,9078.4850688,Office,4819.90261824,1114.7435769600002,,2687370.3619125,17.759999999999998
661,Medical Office,EAST,39251.813109120005,Medical Office,18339.803320320003,,47.0,18530265.66404,212.89499999999998
671,Medical Office,CENTRAL,8779.33728,Medical Office,10566.69886656,,61.0,6066468.92033,41.14
673,Retail Store,DELRIDGE,8799.125627520001,Retail Store,10196.85186432,,79.0,5806511.8956349995,89.46000000000001
674,Medical Office,EAST,28140.516622080002,Medical Office,18707.4206496,8014.7452608,59.5,15348649.41183,126.75
675,Medical Office,EAST,40364.048304,Medical Office,40364.048304,23225.760000000002,60.0,59771643.16184,1891.47
677,Medical Office,EAST,29720.70442944,Medical Office,15861.057310080001,6426.196179840001,51.5,16419051.56682,345.345
678,Large Office,DOWNTOWN,19093.525683840002,Office,10676.32445376,2661.0217747200004,93.5,9173501.39855,282.59000000000003
679,Small- and Mid-Sized Office,DOWNTOWN,5267.602368000001,Office,4273.53984,975.4819200000001,50.0,3469873.1512849997,22.66
680,Small- and Mid-Sized Office,GREATER DUWAMISH,6689.0188800000005,Office,6689.0188800000005,,91.0,2712885.537305,22.259999999999998
681,Large Office,MAGNOLIA / QUEEN ANNE,17758.04448384,Office,9569.013120000001,7432.243200000001,93.0,5346147.542764999,35.325
682,Other,DELRIDGE,6388.29173952,Other - Recreation,4645.152,1070.8933420800001,,8661445.96357,243.39
683,Other,SOUTHEAST,9488.466184320001,Strip Mall,9980.29487808,0.0,,22894240.708079997,538.4100000000001
685,Large Office,DOWNTOWN,33635.17401984,Office,21594.66132672,9092.79213696,83.5,17703147.684329998,122.98500000000001
689,Other,MAGNOLIA / QUEEN ANNE,7556.361661440001,Lifestyle Center,7560.9139104000005,,,14368119.905289998,281.61
690,Large Office,DOWNTOWN,50068.514056320004,Office,34053.98092416,11410.44427584,91.0,16528333.09903,108.1
692,Other,DOWNTOWN,25639.566785280003,Parking,18305.615001600003,7325.59051008,,5743329.6275349995,37.95
693,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,9166.55715072,Office,9166.55715072,,90.0,4794455.349939999,31.985
694,Large Office,GREATER DUWAMISH,14765.17305024,Office,7446.828977280001,3186.7600780800003,16.0,9200667.08343,86.995
696,Large Office,MAGNOLIA / QUEEN ANNE,9764.109504,Office,9764.109504,,1.0,23864582.55526,354.365
700,Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,5311.82421504,Supermarket/Grocery Store,3669.6700800000003,1393.5456000000001,31.5,13267742.96817,156.765
701,Retail Store,MAGNOLIA / QUEEN ANNE,4706.4680064,Retail Store,4706.4680064,,52.0,2792076.2307849997,53.465
702,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,5753.39236416,Office,3704.8803321600003,,57.0,2597575.2603725,52.495
703,Large Office,MAGNOLIA / QUEEN ANNE,15339.31383744,Office,9723.88248768,5109.667200000001,1.5,25555261.34214,168.86
704,Large Office,MAGNOLIA / QUEEN ANNE,12035.681735040002,Office,7643.41180992,3948.3792000000003,1.0,27673630.85628,184.4
705,Large Office,MAGNOLIA / QUEEN ANNE,14858.633508480001,Office,9889.43570496,4669.12098432,57.0,8180451.231225,54.05
706,Large Office,MAGNOLIA / QUEEN ANNE,17090.81485056,Office,12398.00359104,4344.424859520001,54.5,15872843.31211,104.88
707,Large Office,MAGNOLIA / QUEEN ANNE,19343.3419584,Office,10217.29053312,7325.218897920001,95.0,6345265.623915,126.945
708,Large Office,DOWNTOWN,25779.29295744,Office,16594.80552,8140.535976960001,64.5,13536873.4758,89.445
709,Large Office,DOWNTOWN,17384.945875200003,Office,15959.162920320001,890.10402624,77.5,10884103.938469999,68.785
710,Large Office,DOWNTOWN,23322.750773760003,Office,11726.035902720001,1181.4479596800002,98.5,18203684.50176,120.28
711,Warehouse,DOWNTOWN,14337.7261632,Non-Refrigerated Warehouse,8856.4468032,,80.0,1553157.3868274998,8.760000000000002
712,Large Office,DOWNTOWN,10056.289564800001,Office,5950.904227200001,1358.3353478400002,,5161337.430335,53.6
713,Large Office,DOWNTOWN,15594.7042944,Office,10253.7085248,1839.5730950400002,72.0,7122656.515705,46.195
714,Large Office,DOWNTOWN,17926.5705984,Office,12557.982625920002,2972.89728,95.0,8149126.236059999,260.94
715,Large Office,DOWNTOWN,10457.1661824,Office,7469.404416,1493.8808832000002,87.0,5020633.30991,82.025
716,Retail Store,DOWNTOWN,8008.61366016,Other,6286.748716800001,1257.34974336,,3437167.0825799997,70.025
717,Warehouse,GREATER DUWAMISH,13485.619480320001,Non-Refrigerated Warehouse,9442.01466432,4509.885173760001,51.5,9443267.052299999,132.64
718,Large Office,GREATER DUWAMISH,10488.38160384,Office,10288.64006784,5341.924800000001,68.5,10329513.23206,132.66
719,Distribution Center,GREATER DUWAMISH,10276.28396352,Distribution Center,9248.59053504,1027.60052544,95.0,1075358.39851564,7.105
720,Warehouse,GREATER DUWAMISH,13924.400538240001,Non-Refrigerated Warehouse,11110.553262720001,2813.84727552,93.0,3314946.9539424996,88.89
722,Warehouse,GREATER DUWAMISH,9124.936588800001,Non-Refrigerated Warehouse,12023.511436800001,,11.0,7100123.599285,82.35
723,Distribution Center,GREATER DUWAMISH,7842.8746368,Distribution Center,4115.604672,2307.52570752,53.0,3078936.23042,20.255
725,Distribution Center,GREATER DUWAMISH,6813.0444384,Distribution Center,6813.0444384,0.0,,4795312.849955,117.11000000000001
727,Distribution Center,GREATER DUWAMISH,5283.953303040001,Distribution Center,4496.507136,397.25339904000003,,2229387.4772862503,50.215
728,Warehouse,GREATER DUWAMISH,5685.666048,Non-Refrigerated Warehouse,5685.666048,,13.5,6045478.237865,187.64499999999998
729,Distribution Center,GREATER DUWAMISH,10396.59340032,Distribution Center,10134.7926336,,78.0,2188286.29616125,39.1
730,Other,GREATER DUWAMISH,5912.72107776,Other - Public Services,6103.729728,0.0,,8294811.030979999,164.4
731,Mixed Use Property,GREATER DUWAMISH,10103.48430912,Non-Refrigerated Warehouse,5444.5826592,2261.07418752,,3890592.9652425,25.445
732,Supermarket / Grocery Store,NORTHWEST,13182.0123456,Supermarket/Grocery Store,15675.9944544,0.0,93.0,18602088.87354,294.245
734,Small- and Mid-Sized Office,BALLARD,8555.62675968,Office,6510.0876249600005,,5.5,5009457.05933,33.099999999999994
735,Warehouse,MAGNOLIA / QUEEN ANNE,5226.632127360001,Non-Refrigerated Warehouse,2934.06380928,1947.4335244800002,,2873406.5859449995,82.64500000000001
738,Other,NORTHEAST,13325.91915456,Other,11108.416492800001,2217.50266176,,27201555.86494,724.34
739,Large Office,LAKE UNION,18824.29267392,Office,9773.957226240002,2972.15405568,73.5,9316621.87014,61.56
740,Small- and Mid-Sized Office,LAKE UNION,7169.699208960001,Office,7169.699208960001,,17.0,9656707.80042,90.75500000000001
741,Large Office,MAGNOLIA / QUEEN ANNE,10268.01559296,Office,9177.05519424,802.1248473600001,52.5,7708205.056399999,50.935
742,Mixed Use Property,LAKE UNION,26683.982760960003,Parking,9058.046400000001,8180.20557504,,22018490.2652,301.67
743,Laboratory,LAKE UNION,10753.34107392,Laboratory,9045.5044896,,,38373148.35504,1155.345
744,Large Office,MAGNOLIA / QUEEN ANNE,22470.9228,Office,15150.81356928,7750.436112,88.5,8916056.20795,65.56
745,Large Office,MAGNOLIA / QUEEN ANNE,9562.509907200001,Office,8275.338288,1408.78169856,84.5,5127705.810245,62.525000000000006
748,Small- and Mid-Sized Office,DOWNTOWN,7143.59345472,Office,8393.3251488,3101.1034752,,13010887.556109998,261.49
749,Large Office,DOWNTOWN,13935.456,Office,11765.984209920001,2221.59039552,65.0,9983545.342279999,107.86500000000001
750,Large Office,DOWNTOWN,25489.06386048,Office,25489.06386048,,82.0,17485175.98104,147.82
751,Large Office,DOWNTOWN,35117.53492608,Office,25105.838820480003,6652.043470080001,84.5,19450711.613700002,242.72000000000003
752,Large Office,DOWNTOWN,15702.471820800001,Office,14531.336098560001,960.3387244800001,86.5,12061748.194689998,334.70500000000004
753,Other,DOWNTOWN,39893.0298912,Data Center,20345.48705088,19547.635743360002,84.5,295202175.47456,1957.3899999999999
754,Large Office,DOWNTOWN,35629.7093856,Office,29026.81162368,7878.177792,90.5,16765086.980439998,109.56
755,Medical Office,DOWNTOWN,33810.574959360005,Medical Office,26161.310257920002,2563.8451948800002,67.5,25172425.435719997,595.405
756,Retail Store,DOWNTOWN,7331.907916800001,Retail Store,7331.907916800001,,73.5,9716784.763175,126.69
757,Large Office,DOWNTOWN,12183.583374720001,Office,11171.40475392,1008.2766931200001,93.5,,89.435
758,Other,DOWNTOWN,88070.87418048001,Other - Mall,52182.15111936,9290.304,,49144441.585599996,329.94
759,Mixed Use Property,EAST,5157.976780800001,Office,1590.5000448,1421.416512,,4092380.5756624998,145.8
760,Large Office,DOWNTOWN,12355.918513920002,Office,12844.495601280001,0.0,92.0,5154047.0976174995,143.46
761,Retail Store,DOWNTOWN,7721.91487872,Retail Store,4180.6368,,55.0,2768305.201455,27.740000000000002
762,Retail Store,DOWNTOWN,7205.0952672,Retail Store,6834.226331520001,,39.0,8369877.758684999,62.89
763,Small- and Mid-Sized Office,DOWNTOWN,4758.30790272,Office,4172.5542355200005,654.40901376,61.0,2907450.734495,19.21
764,Large Office,DOWNTOWN,45446.49491328,Office,34508.834208,6080.59687104,46.5,37271449.42774,326.07
765,Large Office,DOWNTOWN,20120.10427584,Office,16964.46671616,1237.4684928000001,,9153974.8756,319.86
766,Large Office,DOWNTOWN,17574.932592,Office,14097.1072896,1174.7589408000001,13.0,20075248.05034,132.65
767,Large Office,DOWNTOWN,27295.19186112,Office,13516.55619264,6559.233333120001,25.0,18100773.94936,118.93
768,Large Office,DOWNTOWN,11367.24436224,Office,8913.30346368,1442.13388992,80.0,5957974.726644999,45.97
769,Small- and Mid-Sized Office,DOWNTOWN,4858.64318592,Office,4668.37776,,88.5,2125679.7611149997,13.8
771,Large Office,DOWNTOWN,10836.2105856,Office,7622.973141120001,609.5368454400001,63.5,7468516.2618350005,166.085
772,Large Office,DOWNTOWN,116041.00662720001,Office,91388.44173888,27575.0158176,94.0,20847122.560919996,271.38
773,Small- and Mid-Sized Office,DOWNTOWN,5866.826976,,,,,,
774,Large Office,DOWNTOWN,21140.64417024,Office,21140.64417024,7236.013109054516,84.5,9416827.77623,58.195
775,Large Office,DOWNTOWN,181367.17274880002,Office,156164.15734848002,29670.258078720002,85.0,98011220.92087999,858.76
776,Medical Office,EAST,17497.265650560003,Medical Office,7606.250593920001,6224.503680000001,16.0,9164035.92776,90.81
777,University,CENTRAL,5585.5165708800005,College/University,5585.5165708800005,0.0,,757876.139353125,6.58
778,Small- and Mid-Sized Office,DOWNTOWN,8825.7888,Office,7848.54172224,787.2603609600001,83.5,4522152.013125,35.435
779,Large Office,DOWNTOWN,20889.89886528,Office,19044.47287872,,76.0,17074250.15718,392.69
780,Large Office,DOWNTOWN,41459.00353344,Office,31902.903936000002,10612.96458048,96.5,14512989.666359998,95.89500000000001
782,Other,GREATER DUWAMISH,5434.084615680001,Other,5434.82784,,,1908013.0361062498,55.035
783,Small- and Mid-Sized Office,GREATER DUWAMISH,5794.362604800001,Office,4596.19209792,966.93484032,30.0,4790793.236679999,30.285
784,Warehouse,GREATER DUWAMISH,6809.42121984,Non-Refrigerated Warehouse,7227.856512,0.0,82.5,2896221.4671499995,70.175
785,Other,GREATER DUWAMISH,9208.73513088,Other,4648.49650944,4560.23862144,,15306610.018599998,179.05
786,Other,GREATER DUWAMISH,6143.95674432,Other,5647.29709248,1282.5264672,,6380066.51425,73.37
787,Warehouse,GREATER DUWAMISH,10745.90883072,Non-Refrigerated Warehouse,9453.070126080002,749.54172672,,3629996.969835,96.25
790,Other,GREATER DUWAMISH,5032.65057984,,,,,1380848.81222,39.08
791,Other,GREATER DUWAMISH,13163.06012544,Other,14168.735533440002,,,7195803.56174,46.97
792,Small- and Mid-Sized Office,GREATER DUWAMISH,8696.653574400001,Office,9409.03408512,46.63732608,94.5,7072857.4199399995,142.91
793,Large Office,GREATER DUWAMISH,14510.34001152,Office,13184.520727680001,0.0,70.5,7267887.898589999,57.715
794,Warehouse,GREATER DUWAMISH,10741.449484800001,Non-Refrigerated Warehouse,5286.182976,,12.5,1977575.5817324999,13.07
796,Large Office,GREATER DUWAMISH,22124.673169920003,Office,22783.541529600003,521.74347264,60.0,12097484.65948,77.14500000000001
797,Distribution Center,GREATER DUWAMISH,6662.820222720001,Distribution Center,6662.820222720001,,,129538.31330365698,0.855
798,Warehouse,GREATER DUWAMISH,5151.473568,Non-Refrigerated Warehouse,3177.8413862400002,1973.63218176,29.5,5169349.81974,124.695
799,Distribution Center,GREATER DUWAMISH,5098.5188352000005,Distribution Center,5109.667200000001,,33.5,3112156.640875,83.84
800,Retail Store,DELRIDGE,9522.5616,Retail Store,9241.15829184,0.0,80.5,8289435.2365149995,156.755
801,Other,NORTHEAST,33574.97284992,Parking,21617.1438624,5891.8178937600005,,9678793.3714,116.62
802,Supermarket / Grocery Store,GREATER DUWAMISH,4718.0808864,Supermarket/Grocery Store,2543.87104128,,58.0,7935585.25724,185.2
803,Small- and Mid-Sized Office,Delridge,7908.4641830400005,Office,7574.01323904,,50.0,21150885.94058,108.2
804,Other,North,28173.311395200002,Parking,29898.79955712,27689.10075072,,12249485.57109,110.84
805,Distribution Center,GREATER DUWAMISH,38237.40481536,Distribution Center,26760.534865920003,7774.405096320001,45.5,16070366.89754,423.605
806,Mixed Use Property,DOWNTOWN,6811.6508928,Non-Refrigerated Warehouse,2534.6736403200002,2162.50406208,,1283408.9437437498,27.785
807,Large Office,MAGNOLIA / QUEEN ANNE,22546.26716544,Office,13850.07810624,7094.44774656,74.5,9965814.00392,65.85
809,Small- and Mid-Sized Office,DOWNTOWN,8896.3951104,Office,8896.3951104,,82.0,5932521.404145,74.11
811,Warehouse,GREATER DUWAMISH,16668.01311552,Non-Refrigerated Warehouse,16544.82368448,,68.0,2997290.9398499997,20.045
812,Warehouse,GREATER DUWAMISH,6065.453675520001,Non-Refrigerated Warehouse,5574.182400000001,464.51520000000005,,651503.341621875,4.305
813,Warehouse,Delridge,15852.23152128,Non-Refrigerated Warehouse,15310.97841024,541.25311104,97.5,710375.9533868749,4.425000000000001
814,Large Office,MAGNOLIA / QUEEN ANNE,35443.53169344,Office,20441.73460032,15698.56989312,86.0,6076179.69257,105.765
815,Large Office,DOWNTOWN,38393.48192256,Office,27452.290901760003,8805.443034240001,91.0,14132183.695379999,93.38
817,Mixed Use Property,NORTHEAST,11371.332096,Office,3866.99613696,3102.86863296,57.5,5512918.766844999,83.22999999999999
819,Retail Store,NORTHEAST,8714.58386112,Retail Store,7949.898938880001,274.06396800000005,,6324095.845015,112.945
820,K-12 School,CENTRAL,4916.800488960001,K-12 School,4916.800488960001,,,1006367.39841,13.47
821,Warehouse,GREATER DUWAMISH,11427.07392,Non-Refrigerated Warehouse,10450.10555136,2269.89997632,51.0,2980280.735,19.69
822,Warehouse,GREATER DUWAMISH,5615.802961920001,Non-Refrigerated Warehouse,4896.176014080001,719.6269478400001,91.5,1153135.8718325,24.24
828,Hospital,EAST,164063.98154880002,Hospital (General Medical & Surgical),152299.11217536,41021.43021504,56.5,310544334.68479997,12066.025
829,Other,MAGNOLIA / QUEEN ANNE,5815.730304000001,Other,19992.45549888,,,13417172.171029998,385.34000000000003
830,Mixed Use Property,EAST,7191.810132480001,Other,2452.640256,1783.738368,,2985965.7939274996,21.3
831,Medical Office,EAST,26887.90493376,Medical Office,13577.779296,12913.522560000001,63.0,13113169.820279999,136.35500000000002
832,Other,NORTH,8385.98580864,Financial Office,8133.84695808,,30.0,8355604.907004999,53.635000000000005
837,Warehouse,Ballard,8113.408289280001,Non-Refrigerated Warehouse,8113.408289280001,,85.5,1280574.9207012497,14.02
838,Medical Office,EAST,7752.57288192,Medical Office,3950.8875820800004,2597.6619014400003,54.0,8039895.874259999,231.39
839,Hotel,EAST,13986.0881568,Hotel,9339.35680512,4646.73135168,27.0,14971263.41784,459.265
841,Other,MAGNOLIA / QUEEN ANNE,13166.033022720001,Other - Entertainment/Public Assembly,12467.309258880001,539.11634112,,20097177.472439997,347.36
843,Hotel,MAGNOLIA / QUEEN ANNE,10391.76244224,Hotel,8547.07968,1858.0608000000002,25.5,9954895.18798,273.485
845,Warehouse,EAST,12340.124997120001,Non-Refrigerated Warehouse,12340.124997120001,,84.0,1117084.66945625,7.385
847,Warehouse,DELRIDGE,6540.374016000001,Non-Refrigerated Warehouse,5392.742762880001,1147.63125312,1.0,15097763.00172,303.94
848,Retail Store,NORTHWEST,9460.3165632,Retail Store,12148.651831680001,,59.0,11849840.976279998,279.01
850,K-12 School,CENTRAL,5142.46197312,K-12 School,5142.46197312,,,927573.93502,10.295
851,University,CENTRAL,10590.94656,College/University,10590.94656,,,7765836.126309999,88.66499999999999
854,Other,GREATER DUWAMISH,31407.08041152,Other,16781.354824320002,4645.152,,22242302.253119998,254.77
857,Warehouse,SOUTHWEST,14155.171689600002,Non-Refrigerated Warehouse,13869.773550720001,730.0320883200001,87.0,1247590.3820975,16.525
858,Medical Office,CENTRAL,29816.859075840002,Medical Office,21958.46963136,8017.346545920001,58.0,26863792.121719997,188.99
859,Retail Store,GREATER DUWAMISH,6891.36170112,Retail Store,6891.36170112,,,5941672.20329,129.87
861,Medical Office,EAST,25560.4133952,Medical Office,16513.32955392,,69.5,10848972.550590001,71.685
864,Warehouse,NORTH,7465.688294400001,Non-Refrigerated Warehouse,7465.688294400001,,95.0,869151.833875,17.665
866,K-12 School,SOUTHWEST,5684.086696320001,K-12 School,5850.568944000001,,91.5,3165022.2685299995,96.755
867,Supermarket / Grocery Store,EAST,11073.113337600002,Supermarket/Grocery Store,4299.5526912000005,,73.0,10910681.95493,252.885
868,Other,GREATER DUWAMISH,4817.580042240001,Automobile Dealership,4468.914933120001,348.66510912,,2054082.92792625,13.780000000000001
1280,Mixed Use Property,GREATER DUWAMISH,6144.421259520001,Office,2419.56677376,1289.8658073600002,12.0,6236506.3464049995,41.205
1281,Large Office,NORTHEAST,10585.743989760002,Office,6079.017519360001,,1.0,18886550.985559996,126.845
19445,Mixed Use Property,LAKE UNION,8647.32206016,,,,94.0,1698390.22042,11.22
19461,Worship Facility,NORTHEAST,2064.3055488,Worship Facility,2064.3055488,,86.5,978125.2885649999,29.715
19462,K-12 School,NORTHEAST,4341.5448652800005,K-12 School,4733.967306240001,,88.0,2914437.869345,85.9
